Name,Singer
Đoá Hoa Hồng / 红玫瑰 (Chengfeng 2023 Version),Chi Pu
Chưa Thấy Đâu,RPT TC
Bức Thư Tình,"B.O.F, Jun Phạm, Kay Trần, S.T Sơn Thạch, BB Trần, Bùi Công Nam, REDT"
sau đêm nay,"Phượng Vũ, Queen B"
End Of The World,Miley Cyrus
Như Đàn Ông,"CARA, Đồng Ánh Quỳnh, Hứa Kim Tuyền"
I'm Sorry,Lâm Bảo Ngọc
Dắt Anh Về Nhà,"Thoại Nghi, ICM, MHee"
CÁI ĐẸP,"tlinh, Pháo, Pháp Kiều"
Drones,Grandson
Beautiful That Way (From The Last Showgirl Original Motion Picture Soundtrack),Miley Cyrus
Nhan Sắc,"Chị Đẹp Đạp Gió Rẽ Sóng, Minh Hằng, Hoàng Yến Chibi, Thu Ngọc, Hậu Hoàng, WOKEUP"
BỐN MÙA PHÁT LỘC,"RAP VIỆT, Gill"
Nhất Bái Thiên Địa,"The Flob, CHIN"
Cherish (My Love),ILLIT
Mantra,JENNIE
"KIM PHÚT, KIM GIỜ","Isaac, Negav, HIEUTHUHAI, HURRYKNG, Pháp Kiều, ANH TRAI SAY HI"
Breath,Mỹ Mỹ
BAO LỜI CON CHƯA NÓI,"ANH TRAI SAY HI, Dương Domic, Anh Tú Atus, Song Luân, Quang Trung, Anh Tú"
Không Phẩy Tám Phần Trăm,Vương Anh Tú
2 4,W/n
Delilah,"Delilah, Thanh Duy"
Vườn Hoa Con Cá (Lofi),"Olew, Ngan, meChill"
Thấy Sai Sai,Rum
ĐÃ XINH LẠI CÒN THÔNG MINH,"EM XINH SAY HI, Bích Phương, Miu Lê, Phương Ly, Bảo Anh, Orange, Lyly, Hoàng Duyên, Chi Xê, Vũ Thảo My, Ngô Lan Hương, LAMOON, Quỳnh Anh Shyn, Saabirose, Liu Grace, Mỹ Mỹ"
Good Thing,i-dle
Chocolate,BAEKHYUN
this is what floating feels like,"JVKE, Tori Kelly"
That's What You Get,Anne-Marie
intro (end of the world) (extended) [Explicit],Ariana Grande
Em Muốn Tự Do,"Du Uyên, Thưởng"
Từ Bàn Tay Này,Phan Mạnh Quỳnh
lả lơi (Extended),"Dab, Dangrangto"
Dù Cho Tận Thế,ERIK
Fat Juicy & Wet,"Sexyy Red, Bruno Mars"
HER,MINNIE
Mình Đừng Quên Nhau (new Version),Anh Tú Atus
GIÀU NHẤT KHU PHÙ HOA,"JustaTee, Wxrdie, Gill, Dangrangto, Hustlang Robber"
Ngỏ Lời,Pay
LẠI LÀ DG HOUSE,"RAP VIỆT, CoolKid, RHYDER"
LET EM KNOW,"RAP VIỆT, Mason Nguyen"
TRAI HỌ VŨ,"RAP VIỆT, Gill, ICY FAMOU$"
Say Hi Never Say Goodbye,ANH TRAI SAY HI
GENE x CÓ KHÔNG GIỮ MẤT ĐỪNG TÌM,"Cường Seven, Jun Phạm, S.T Sơn Thạch, BB Trần, Tự Long, Bằng Kiều"
TUYẾT TRÊN PHỐ,"RAP VIỆT, Gill"
Đi Tìm Tình Yêu,"MONO, 2pillz"
Criminal,Orange
Giấc Ngủ Dài Hạn,Khiem
Bao Tiền Một Mớ Bình Yên?,"Đăng Khôi, Phan Đình Tùng, Neko Lê, Tăng Phúc, Kay Trần"
Chạng Vạng,Lãng
Chk Chk Boom,Stray Kids
Standing Next to You,Jung Kook (BTS)
AAA,"EM XINH SAY HI, Tiên Tiên, Phương Mỹ Chi, Juky San, Lâm Bảo Ngọc, 52Hz, Pháo, Han Sara, DANMY, Muộii, Ánh Sáng AZA, Đào Tử A1J, LyHan, MAIQUINN, Châu Bùi, Yeolan"
Đừng Phiền Anh (feat. Pháp Kiều),"Ali Hoàng Dương, Pháp Kiều"
tâm trí lang thang,"Ánh Sáng AZA, Negav"
không lời,Thiều Bảo Trâm
BIGTEAM BIGDREAM,"BIGTEAM All Stars, BigDaddy, Dangrangto, HURRYKNG, Pháp Kiều, Ogenus, Tez, gung0cay, Limitlxss, IndieK, Snoop Dee, 7dnight, Nhật Hoàng, V#, VCC Lefthand, $A Lil Van, An Roy $8386, Coldzy, Quân Lee"
Bluebird,Lana Del Rey
"Henry, come on",Lana Del Rey
Anh Không Hợp Với Yêu Đương (feat. Dani D),"Cao Trung Hiếu, Hast, Dani D"
Thích Quá Rùi Nà (Live at GENfest 24),"tlinh, Trung Trần"
Em Buồn Anh,"Haley, INUS, MANBO"
Có Đáng Để Yêu Thương?,"Đức Anh, Du Uyên"
Almond Chocolate,ILLIT
High Alone,Jackson Wang (Vương Gia Nhĩ)
Một Nơi Bé Nhỏ Nào Đó (Tet 2025 Movie “Bộ Tứ Báo Thủ” Original Soundtrack),Orange
Manifest,"hooligan., Dương Domic"
Mở Ngàn Lộc Vui,Da LAB
Vị Nhà,Đen
ĐẾN LÀ ĐÓN,"Tage, RHYDER, Lope Phạm"
Khổ Quá Thì Về Mẹ Nuôi,"Noo Phước Thịnh, Phát Huy T4"
Nơi Mình Dừng Chân,"Forest Studio, MIN, Bùi Công Nam"
ANH ĐÃ LÀM GÌ ĐÂU,"RAP VIỆT, Nhật Hoàng, Thuỳ Chi"
Sorry Babe,Mr.Siro
LƯỚT TRÊN CON SÓNG,"RAP VIỆT, Dangrangto"
CHỜ MỘT TIẾNG YÊU,"Chị Đẹp Đạp Gió Rẽ Sóng, Minh Tuyết, Jase"
CẦU VỒNG LẤP LÁNH,"Chị Đẹp Đạp Gió Rẽ Sóng, Dương Hoàng Yến, WOKEUP"
QUÁ LÀ TRÔI,"Binz, Rhymastic, Bùi Công Nam, Đỗ Hoàng Hiệp, Hà Lê"
CÓ EM VUI,"RAP VIỆT, Ngắn"
EM YÊU PUPPY,"RAP VIỆT, Young Puppy"
SAO HẠNG A,"ANH TRAI SAY HI, HIEUTHUHAI, Dương Domic, Song Luân, JSOL"
GỌI CHO ANH,"ANH TRAI SAY HI, Isaac"
Trái Đất Ôm Mặt Trời,"Quốc Thiên, Hà Lê, Binz, Đinh Tiến Đạt, Duy Khánh ZhouZhou"
Những Kẻ Mộng Mơ,"SOOBIN, Tiến Luật, Tuấn Hưng, Quốc Thiên, Rhymastic, Tự Long"
Night Fall,"MANBO, thrasherboiz"
Đùa Anh Đau Đấy,Noo Phước Thịnh
TO THE MOON,"KayC, Puppy, Machiot"
Real Queen (Stage Performance),"Delilah, Thanh Duy"
Bloom,"TWS, Ayumu Imazu"
LẤY CHỒNG ĐÀI LOAN,"Lăng LD, Ricky Star"
ON MY WAY,"GUrbane, M NAIVE"
Mộc Miên,"Chi Xê, The Flob"
Love Language,TXT (TOMORROW X TOGETHER)
Quên Rồi Khổ Đau Năm Ấy,"Vicky Nhung, Đông Thiên Đức"
maybe if,"Hoāng, OvalKid, 1Sebt"
Chẳng Cần Ngày Mai,"Trungg I.U, Star Online"
SỰ NGHIỆP CHƯỚNG,Pháo
Hoang Tưởng Đêm Khuya (Theme Song From Quỷ Nhập Tràng),Nguyễn Định
Em Say Anh Rồi Đấy,Võ Ê Vo
Be Like This,"CHICHA22, Kim Chi Sun, CHARLES."
ExtraL,"JENNIE, Doechii"
Trong Hẻm Nhỏ Có Anh Chờ,"Trung Quân, Bùi Anh Tuấn"
ĐỂ NHỮNG YÊU THƯƠNG VÀO TRONG ĐẦU,D.Kies
letting go,Mỹ Anh
Born Again,"LISA, Doja Cat, RAYE"
Thắp Sáng Nơi Em,"Hùng Huỳnh, Pháp Kiều, Đức Phúc, CAPTAIN BOY, Hải Đăng Doo, Vũ Phụng Tiên, DANMY, Lyly, Juky San"
Ngây Ngô,"Forest Studio, Lâm Bảo Ngọc"
Cứu Lấy Âm Nhạc,"Wren Evans, Itsnk"
ĐẬM ĐÀ,"Tóc Tiên, Chị Đẹp Đạp Gió Rẽ Sóng"
"Dum, Dumb, And Dumber","Lil Baby, Young Thug, Future"
EM ĐAU,"Phùng Khánh Linh, Thành Luke"
"Em Ơi, Anh Nhớ Nhà",SOOBIN
Bê Trap,Trang Pháp
I'm Your Christmas Present,Han Sara
Vì Điều Gì,"buitruonglinh, Dangrangto, Minsicko"
SĂN,"RAP VIỆT, Suboi, Saabirose"
1TINHYEU,"RAP VIỆT, Hustlang Robber"
Ối Dồi Ôi,"SimonC, UMIE"
GOOD GIRL,Trang Pháp
Từ Đây Từ Nay,Tăng Phúc
Ômm,Tiên Cookie
SHH! CHỈ TA BIẾT THÔI,"Chị Đẹp Đạp Gió Rẽ Sóng, Ngọc Phước, Hino"
NẮNG,"RAP VIỆT, CoolKid"
BA ƠI,"RAP VIỆT, Hustlang Robber"
ĐỪNG GHEN,"RAP VIỆT, Mason Nguyen"
Buộc Vào Cơn Gió,Vy Vy
Bầu Trời Mới,"Da LAB, Minh Tốc & Lam"
TẠI SAO VẬY?,"RAP VIỆT, Shayda"
Spot A Fake,Ava Max
NGẠO NGHỄ,"ANH TRAI SAY HI, Anh Tú Atus, Isaac, RHYDER, HURRYKNG"
ANH BIẾT RỒI,"RHYDER, ANH TRAI SAY HI"
con tim anh ngung khoc roi,"Hoàng KayLee, Dilo"
Đa Nghi,Ogenus
Giai Điệu Việt Nam Mình,"Tuấn Cry, Masew"
Let Me Feel Your Love Tonight,"Kay Trần, Liên Bỉnh Phát, Thiên Minh, BB Trần, S.T Sơn Thạch"
Buông,"Bằng Kiều, Trương Thế Vinh, Phạm Khánh Hưng, Đỗ Hoàng Hiệp, Phan Đình Tùng"
NGƯỜI TÌNH CỦA NẮNG,"ANH TRAI SAY HI, Anh Tú, CAPTAIN BOY, Hải Đăng Doo, Vũ Thịnh, Lyly"
LAST PARADE,BamBam
Chợt Nghe Bước Em Về,"Tự Long, Cường Seven, Quốc Thiên, SOOBIN, Rhymastic, Đinh Tiến Đạt"
Who,Jimin (BTS)
DON'T CARE,"ANH TRAI SAY HI, Isaac, Quang Hùng MasterD, Negav, Gin Tuấn Kiệt, Vũ Thịnh, Nanon (Korapat Kirdpan)"
FRIENDSHIP,Đen
Khóa Ly Biệt,"The Masked Singer, Voi Bản Đôn"
Shawty Ở Trong Nam,"prettyXIX, VCC Left Hand, 2pillz"
Có Ai Hẹn Hò Cùng Em Chưa,Quân A.P
Thành Phố Chứa Những Người Dưng Cô Đơn,"iMAZE, ngtrinh"
Sapphire,Ed Sheeran
không lời (Duet),"Thiều Bảo Trâm, Miu Lê"
Bỏ cả thế giới để yêu em,Hoàng Tử Drill
Thở,"Thể Thiên, tlinh, antransax, Pixel Neko"
Priceless,"Maroon 5, LISA"
Vấn Vương,buitruonglinh
"gentle, baby","Mỹ Anh, g0nny"
Azizam,Ed Sheeran
ESCAPE (Bang Chan & Hyunjin),Stray Kids
Nhớ Anh Khi Chưa Tạm Biệt,Thảo Trang
Vanish Into You,Lady Gaga
LV Bag (feat. j,"hope of BTS & Pharrell Williams) - Don Toliver, Speedy"
Nhà Còn Thương Em Mà (Theme Song From Nhà Gia Tiên),Phương Mỹ Chi
Đến Lúc Thay Đổi Rồi,"Trung Quân, Bùi Anh Tuấn"
Rebellion,"R3HAB, Michael Patrick Kelly, Shaggy"
Love Hangover,"JENNIE, Dominic Fike"
Nỗi Buồn Em Đánh Rơi (Soundtrack from Nụ Hôn Bạc Tỷ The Movie),Trà My
Yêu Phải Như Vậy,"Noo Phước Thịnh, Làn Sóng Xanh, Châu Đăng Khoa"
"Người Việt (feat. CHARLES., KIMLONG, Duy Sơn & Triple D)","SOOBIN, Hà Lê, Lil Wuyn, 16 Typh, KIMLONG"
PHONG NỮ,"CÔ ĐÔI THƯỢNG NGÀN - Kiều Anh, Chị Đẹp Đạp Gió Rẽ Sóng"
Mama Told Me Not To Come,ĐINH HƯƠNG
Quăng Hết Đi,"XYNTRA, Diệu Nhi, Hậu Hoàng, Dương Hoàng Yến"
Season of Memories,GFRIEND
OK,Katy Perry
Nỗi Đau Đính Kèm,"Anh Tú Atus, RHYDER"
NÓI LÀ LÀM,"RAP VIỆT, Karik, DANMY, Mason Nguyen"
LÀN ƯU TIÊN,"Quang Hùng MasterD, JSOL, HURRYKNG, Dương Domic, MOPIUS"
BÉ BIẾT ANH MUỐN GÌ,UMIE
What Would You Do,Wonho
34567,Will
Anh Bờ Vai,VƯƠNG BÌNH
Sau Lưng Bố,Jun Phạm
Đi Giữa Trời Rực Rỡ (Acoustic Version),Ngô Lan Hương
HOW TO LOVE YOU,"Chị Đẹp Đạp Gió Rẽ Sóng, Tuimi"
ĐÂU PHẢI VỢ ANH,"RAP VIỆT, Dangrangto"
RĂNG HAY RỨA HÈ,"RAP VIỆT, Saabirose"
Ước Nguyện,Kha
Ý Em Là,Chi Xê
RƠI,"Trương Thế Vinh, BB Trần, S.T Sơn Thạch, Kay Trần, (S)TRONG, Jun Phạm"
Chỉ Cần Có Nhau,Vũ Cát Tường
ANH EM GỌI LÀ CÓ MẶT NGAY,ANH TRAI SAY HI
TÌNH CUỐI CÙNG,"ANH TRAI SAY HI, JSOL"
Mình Anh Thôi,Negav
Dạ Cổ Hoài Lang (feat. Hữu Quốc),"Trương Thế Vinh, Bằng Kiều, Phan Đình Tùng, Duy Nhất, Đỗ Hoàng Hiệp, Phạm Khánh Hưng"
Triệu Lý Do,"Trương Thế Vinh, Đỗ Hoàng Hiệp, Duy Nhất, Hồng Sơn, Phạm Khánh Hưng"
Giả Vờ,"DuongG, DiepGiaHuy"
Nếu Một Mai Tôi Bay Lên Trời,"Jun Phạm, Phạm Khánh Hưng, Đỗ Hoàng Hiệp, Thành Trung"
I'M THINKING ABOUT YOU,"ANH TRAI SAY HI, RHYDER, WEAN, Đức Phúc, Gemini Hùng Huỳnh, tlinh"
REGRET,"ANH TRAI SAY HI, Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương, Lâm Bảo Ngọc"
Dẫu Có Lỗi Lầm,"Bằng Kiều, Binz, Bùi Công Nam, Duy Khánh ZhouZhou, Thanh Duy, Thiên Minh"
Dắt em đi khỏi đây,Quân A.P
YOU HAD ME AT HELLO,"Phạm Đình Thái Ngân, Lou Hoàng, Gin Tuấn Kiệt, Hải Đăng Doo, ANH TRAI SAY HI"
There Goes My Baby,d4vd
Ai Mà Biết Được,"SOOBIN, tlinh"
DOC,Pháp Kiều
Chị Em Mình Trên Tivi,VibeQueens
Please Please Please,Sabrina Carpenter
Soñar (Breaker),NMIXX
Đặt Vị Trí Cho Nhau Được Không?,KayZ
11:11 (11 Giờ 11 Phút) (Cukak Remix),"MiiNa (DREAMeR), RIN9, DREAMeR"
Bad Desire (With or Without You),ENHYPEN
THUNDER,SEVENTEEN
Don’t Say You Love Me,Jin (BTS)
Waiting For You,"MONO, Onionn"
Messy (From F1® The Movie),ROSÉ
01 Ngoại Lệ,Jack - J97
"Sorry, Anh Mất Em Rồi!","Ogenus, Orange"
Loose,ENHYPEN
Too Late,"MiQ, Dusky, Catchellers"
Nước Mắt Cá Sấu,HIEUTHUHAI
The One For Me,"KayC, VSTRA, Machiot"
Younger And Hotter Than Me,"Selena Gomez, benny blanco"
Thất Tình,"Forest Studio, Anh Tú"
Sai Từ Đầu,"Ali Hoàng Dương, Đậu Tất Đạt"
Call Me When You Break Up,"Selena Gomez, benny blanco, Gracie Abrams"
Lần Đầu Tiên,"Emcee L, Muộii"
I Do,"Trung Quân, Bùi Anh Tuấn"
Busy Woman,Sabrina Carpenter
Wanna Hear You Say (Vie),"Hoàng Mỹ An, Samuel"
ATTITUDE,IVE
KHI MÀN ĐÊM RỰC SÁNG,"Mỹ Linh, Thu Phương, Minh Hằng, Tóc Tiên, Đồng Ánh Quỳnh, Ái Phương, Minh Tuyết, Bùi Lan Hương, Tuimi, Xuân Nghi, Gil Lê, Hậu Hoàng, MisThy, Vũ Ngọc Anh, Ngọc Phước, Ngọc Thanh Tâm, Phạm Quỳnh Anh, Thu Ngọc, Kiều Anh, Thiều Bảo Trâm, Dương Hoàng Yến, Hạnh Sino, Thảo Trang, Phương Thanh, DJ Mie, Hoàng Yến Chibi, Ngọc Ánh, Maitinhvi"
MASHUP: INH LẢ ƠI x ĐỈNH NÓC KỊCH TRẦN,"Chị Đẹp Đạp Gió Rẽ Sóng, Tuimi, Kiều Anh, Xuân Nghi, Thiều Bảo Trâm, Phương Thanh, Ngọc Thanh Tâm"
Chuyện Cũ Bỏ Qua 2025,Trúc Nhân
CBZ (Prime time),BSS
IN THE DARK,"Chị Đẹp Đạp Gió Rẽ Sóng, Hoàng Yến Chibi, Thảo Trang, Ngọc Phước"
Ánh Trăng Tan,Hà Anh Tuấn
Out Of Body,"TGSN, VSTRA, tlinh"
toxic till the end,ROSÉ
ngày mùa đông,Chillies
ANH TRAI HIP HOP,"RAP VIỆT, B Ray, Hustlang Robber, Gill"
Duyên Kiếp Cầm Ca,Binz
TALAGI,"Kidsai, Dangrangto, WHENITSASUNNIDAY"
DRIP,BABYMONSTER
Cho Em Phiêu,Đạt Long Vinh
Waste Time,"Chi Pu, GAVIN:D"
MƯA PHI TRƯỜNG,"OUR SONG VIETNAM, Vũ Thảo My, WEAN"
Đỏ Quên Đi,"Đinh Tiến Đạt, Binz, Tiến Luật, Liên Bỉnh Phát, Bùi Công Nam, Rhymastic, Hà Lê, Thiên Minh, Tăng Phúc, Quốc Thiên, Thanh Duy, Duy Khánh ZhouZhou, Đỗ Hoàng Hiệp"
A New Harley Quinn,LyHan
Ta Đã Vất Vả Rồi Mà,"14 Casper, Bon Nghiêm"
Nếu Những Tiếc Nuối,Vũ.
Không Phẩy Tám Phần Trăm,"Vương Anh Tú, Lâm Bảo Ngọc"
TÌNH ĐẦU QUÁ CHÉN,"ANH TRAI SAY HI, Quang Hùng MasterD, Negav, Pháp Kiều, ERIK"
AIRPLANE MODE,"ANH TRAI SAY HI, HURRYKNG, WEAN, antransax"
ĐÓA HỒNG CHƠI VƠI,"ANH TRAI SAY HI, Anh Tú"
KIM TỰ THÁP,"ANH TRAI SAY HI, CAPTAIN BOY"
CHÀNG KHỜ THUỶ CUNG,"ANH TRAI SAY HI, Negav, GREY D"
Đào Liễu (feat. NSND Thu Huyền),"Đinh Tiến Đạt, Tiến Luật, Rhymastic, Quốc Thiên, Binz, Duy Khánh ZhouZhou"
Đường Xa Ướt Mưa X Đừng Qua Lối Đó,"Jun Phạm, Cường Seven, Thanh Duy, Tự Long, SOOBIN"
ANH TRAI NƯỚC VIỆT,"ANH TRAI SAY HI, ERIK, Đức Phúc, Quân A.P, JSOL, Gemini Hùng Huỳnh"
Roses,JAEHYUN (NCT 127)
Nhân vật chính,Rich Choi
NGÁO NGƠ,"ANH TRAI SAY HI, HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL, Orange"
Tình Yêu Ngủ Quên,"Jun Phạm, Trương Thế Vinh, Kiên Ứng, Hà Lê, BB Trần, HuyR"
trở thành quá khứ,T.R.I
Một Lần Dang Dở x Đi Qua Cầu Vồng,"Thành Trung, Quốc Thiên, Hà Lê, Kiên Ứng, Đỗ Hoàng Hiệp"
Dịu Dàng Đến Từng Phút Giây x Bước Đến Bên Em,"Phan Đình Tùng, Đăng Khôi, Tăng Phúc, Neko Lê, Kay Trần"
YOU,"Quang Trung, Song Luân, Anh Tú Atus, CAPTAIN BOY, ANH TRAI SAY HI"
Say,keshi
THI SĨ,"ANH TRAI SAY HI, Đức Phúc, ERIK, Phạm Anh Duy, Tage"
Rockstar,LISA
Nhật Ký Vào Đời,"Karik, Thai VG"
I.C.O.N,"ANH TRAI SAY HI, Isaac, HIEUTHUHAI, Đức Phúc, Quân A.P, Quang Hùng MasterD, Lou Hoàng, Pháp Kiều, WEAN, Negav, Hải Đăng Doo, Gin Tuấn Kiệt, Ali Hoàng Dương, NICKY, Vũ Thịnh, Công Dương"
Xoay Một Vòng,"HIEUTHUHAI, Phương Ly"
Let Me Calm Down,"Nicki Minaj, J. Cole"
Một Người Đánh Mất Một Người,Olew
Em Này,"Gin Tuấn Kiệt, Puka"
Như Giấc Mơ Dài (Original Soundtrack From Thạch Sanh Lý Thanh),Uyên Linh
Tình Yêu Như Định Mệnh,Maya
Những Câu Hỏi Khi Say,"Bảo Uyên, Trung Quân, DREAMeR"
Điều Ước Giản Đơn,"Tăng Phúc, Nguyễn Hồng Thuận"
Hỏng Loa,Đang Cập Nhật
Tình Yêu Diệu Kỳ,"MAIQUINN, Nguyễn Hồng Thuận"
Vũ Trụ Cò Bay,"Phương Mỹ Chi, DTAP"
Get Me,KIM KUNNI
Nhìn Lại,anphonggg
Alive,"Thu Minh, Thảo Trang"
Missing You,Lyly
Ngả Ngả Nghiêng,Trungg I.U
Ở Trong Em,"Droppy, Nhật Nguyễn, Hổ"
Be My Girl,"Thu Minh, ERIK"
Hóa Đơn Tiền Điện,"Thu Minh, Hoàng Dũng"
Kết Thúc Khi Chưa Bắt Đầu,Thu Thủy
Giấc Mơ Của Em,"MYLINA, fueled by boba"
Một Ngày Mãi Mãi,"TRANG, Tùng"
Nhạc Chơi,The Flob
good4us,SIVAN
U OH U OH,NAM23
Ăn Chốt,"gung0cay, RHYDER, WOKEUP"
EZ,"Saabirose, 7dnight, VCC Left Hand, Pixel Neko"
Elevator,BAEKHYUN
Tịnh Như Phiến Đá,"Hồ Quang Hiếu, Huỳnh Văn"
Ghét mà Ghiền,"WEAN, Orange"
Kỵ Sĩ Và Ánh Sao,Đông Nhi
Nameless Days,imase
Mặt Trời Trong Bóng Tối (Theme Song From Địa Đạo),"NSƯT Cao Minh, LAMOON, Hứa Kim Tuyền"
Ôm Em Thật Lâu,MONO
Đừng Như Thói Quen,"Host Nguyên Khang, Ôn Vĩnh Quang, Minh Tuyết"
HOT,LE SSERAFIM
I'm Fine Without You Here,"Dani D, Hast"
Chương Mới (Original Soundtrack from Đu Đêm 3),"Nguyễn Thúc Thùy Tiên, WEAN"
Miss possessive (Explicit),Tate McRae
"Ngày Này, Người Con Gái Này",Vũ Cát Tường
ai sẽ chữa lành tổn thương,Dab
Hugs & Kisses,JISOO
Chăm Em Một Đời,Đức Phúc
Abracadabra,Lady Gaga
Một,Không (1-0) - Đông Nhi
MỘT NGÀY HAY TRĂM NĂM,"Chị Đẹp Đạp Gió Rẽ Sóng, Bùi Lan Hương, Minh Hằng, Phạm Quỳnh Anh, Dương Hoàng Yến"
Còn Lại Gì,Hngle
VIỆT NAM TÔI ĐÓ,"SOOBIN, Vũ Cát Tường, Lil Wuyn"
TỪ CHỐI NHẸ NHÀNG THÔI,"Chị Đẹp Đạp Gió Rẽ Sóng, Bùi Lan Hương, MisThy, Minh Hằng, Phạm Quỳnh Anh, Dương Hoàng Yến"
Tết Vỗ Về,"Đông Nhi, Bùi Công Nam, Jun Phạm"
Thờ ơ với HURRYKNG,"WEAN, HURRYKNG"
Khát Vọng Là Người Việt,"ANH TRAI SAY HI, Đức Phúc, ERIK, Anh Tú Atus, Anh Tú, Phạm Đình Thái Ngân, Ali Hoàng Dương, Phạm Anh Duy, CAPTAIN BOY, Quân A.P, Dương Domic"
HUSTLANG ALL DAY,"RAP VIỆT, Hustlang Robber"
CẦU DUYÊN,"Chị Đẹp Đạp Gió Rẽ Sóng, Bùi Lan Hương, Đồng Ánh Quỳnh, Maitinhvi, Thảo Trang, MisThy, Hậu Hoàng"
